time_ms,packet_counter,timestamp_ms,imu1_acc_x,imu1_acc_y,imu1_acc_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu2_acc_x,imu2_acc_y,imu2_acc_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,baro1_pressure,baro1_height,baro2_pressure,baro2_height,tank_pressure,tank_temp_top,tank_temp_bottom,tank_temp_feeding,injector_pressure,injector_temp,chamber_pressure,battery_soc,battery_current,battery_voltage,state,gnss_north,gnss_east,gnss_speed,gnss_altitude
1500,15,1500,57,0,0,0,0,0,57,0,0,0,0,0,1001,93,1011,103,300,300,295,285,4074,353,2009,99,65,1134,2,37544,21138,10869,93
1600,16,1600,56,0,0,0,0,0,57,0,0,0,0,0,999,105,1010,116,300,300,295,285,4079,353,2010,99,65,1134,2,37545,21138,11498,105
1700,17,1700,55,0,0,0,0,0,56,0,0,0,0,0,998,117,1010,129,300,300,295,285,4084,354,2011,99,65,1134,2,37546,21138,12119,117
1800,18,1800,55,0,0,0,0,0,55,0,0,0,0,0,996,130,1009,143,300,300,295,285,4089,354,2011,99,65,1134,2,37547,21138,12731,130
1900,19,1900,54,0,0,0,0,0,54,0,0,0,0,0,995,143,1009,157,300,300,295,285,4094,354,2012,99,65,1134,2,37548,21138,13334,143
2000,20,2000,53,0,0,0,0,0,53,0,0,0,0,0,993,157,998,162,300,300,295,285,4099,354,2013,99,65,1134,2,37549,21138,13927,157
2100,21,2100,52,0,0,0,0,0,52,0,0,0,0,0,991,171,997,177,300,300,295,285,4104,355,2013,99,65,1134,2,37550,21137,14510,171
2200,22,2200,51,0,0,0,0,0,52,0,0,0,0,0,989,187,996,194,300,300,295,285,4109,355,2014,99,65,1134,2,37551,21137,15083,187
2300,23,2300,50,0,0,0,0,0,51,0,0,0,0,0,987,202,995,210,300,300,295,285,4113,355,2015,99,65,1134,2,37552,21137,15645,202
2400,24,2400,49,0,0,0,0,0,50,0,0,0,0,0,985,218,994,227,300,300,295,285,4118,355,2015,99,65,1134,2,37553,21137,16197,218
2500,25,2500,48,0,0,0,0,0,49,0,0,0,0,0,983,235,993,245,300,300,295,285,4123,356,2016,99,65,1134,2,37554,21136,16739,235
2600,26,2600,47,0,0,0,0,0,48,0,0,0,0,0,981,252,992,263,300,300,295,285,4128,356,2017,99,65,1134,2,37555,21136,17269,252
2700,27,2700,46,0,0,0,0,0,47,0,0,0,0,0,979,270,991,282,300,300,295,285,4133,356,2017,99,65,1134,2,37556,21136,17788,270
2800,28,2800,45,0,0,0,0,0,46,0,0,0,0,0,977,289,990,302,300,300,295,285,4138,356,2018,99,65,1134,2,37557,21136,18296,289
2900,29,2900,44,0,0,0,0,0,45,0,0,0,0,0,975,307,989,321,300,300,295,285,4142,357,2019,99,65,1134,2,37558,21135,18793,307
3000,30,3000,43,0,0,0,0,0,44,0,0,0,0,0,972,327,977,332,300,300,295,285,4147,357,2019,99,65,1134,2,37559,21135,19279,327
3100,31,3100,42,0,0,0,0,0,43,0,0,0,0,0,970,346,976,352,301,301,296,286,4152,357,2020,98,65,1134,2,37560,21135,19753,346
3200,32,3200,41,0,0,0,0,0,42,0,0,0,0,0,967,367,974,374,301,301,296,286,4157,357,2021,98,65,1134,2,37561,21134,20216,367
3300,33,3300,40,0,0,0,0,0,41,0,0,0,0,0,965,387,973,395,301,301,296,286,4162,358,2021,98,65,1134,2,37562,21134,20667,387
3400,34,3400,39,0,0,0,0,0,39,0,0,0,0,0,962,408,971,417,301,301,296,286,4166,358,2022,98,65,1134,2,37563,21134,21108,408
3500,35,3500,38,0,0,0,0,0,38,0,0,0,0,0,960,430,970,440,301,301,296,286,4171,358,2023,98,65,1134,2,37564,21133,21537,430
3600,36,3600,37,0,0,0,0,0,37,0,0,0,0,0,957,452,968,463,301,301,296,286,4176,358,2023,98,65,1134,2,37565,21133,21954,452
3700,37,3700,36,0,0,0,0,0,37,0,0,0,0,0,954,474,966,486,301,301,296,286,4180,359,2024,98,65,1134,2,37566,21133,22361,474
3800,38,3800,35,0,0,0,0,0,36,0,0,0,0,0,952,497,965,510,301,301,296,286,4185,359,2025,98,65,1134,2,37567,21132,22757,497
3900,39,3900,34,0,0,0,0,0,35,0,0,0,0,0,949,520,963,534,301,301,296,286,4190,359,2025,98,65,1134,2,37568,21132,23141,520
4000,40,4000,33,0,0,0,0,0,33,0,0,0,0,0,946,544,951,549,301,301,296,286,4194,359,2026,98,65,1134,2,37568,21132,23515,544
4100,41,4100,32,0,0,0,0,0,32,0,0,0,0,0,943,567,949,573,301,301,296,286,4199,360,2026,98,65,1134,2,37569,21131,23878,567
4200,42,4200,31,0,0,0,0,0,31,0,0,0,0,0,940,592,947,599,301,301,296,286,4203,360,2027,98,65,1134,2,37570,21131,24231,592
4300,43,4300,30,0,0,0,0,0,31,0,0,0,0,0,938,616,946,624,301,301,296,286,4208,360,2028,98,65,1134,2,37571,21130,24573,616
4400,44,4400,29,0,0,0,0,0,30,0,0,0,0,0,935,641,944,650,301,301,296,286,4212,360,2028,98,65,1134,2,37572,21130,24905,641
4500,45,4500,28,0,0,0,0,0,29,0,0,0,0,0,932,666,942,676,301,301,296,286,4217,361,2029,98,65,1134,2,37573,21130,25227,666
4600,46,4600,28,0,0,0,0,0,28,0,0,0,0,0,929,692,940,703,301,301,296,286,4221,361,2030,98,65,1134,2,37574,21129,25539,692
4699,47,4699,27,0,0,0,0,0,27,0,0,0,0,0,926,718,938,730,301,301,296,286,4226,361,2030,98,65,1134,2,37575,21129,25842,718
4799,48,4799,26,0,0,0,0,0,26,0,0,0,0,0,923,744,936,757,301,301,296,286,4230,361,2031,98,65,1134,2,37576,21128,26135,744
4899,49,4899,25,0,0,0,0,0,25,0,0,0,0,0,920,770,934,784,301,301,296,286,4235,362,2032,98,65,1134,2,37577,21128,26418,770
4999,50,4999,24,0,0,0,0,0,25,0,0,0,0,0,917,797,932,812,301,301,296,286,4239,362,2032,98,65,1134,2,37577,21127,26693,797
5099,51,5099,23,0,0,0,0,0,24,0,0,0,0,0,914,824,920,830,301,301,296,286,4244,362,2033,98,65,1134,2,37578,21127,26958,824
5199,52,5199,23,0,0,0,0,0,23,0,0,0,0,0,910,851,917,858,301,301,296,286,4248,362,2033,98,65,1134,2,37579,21126,27215,851
5299,53,5299,22,0,0,0,0,0,22,0,0,0,0,0,907,879,915,887,301,301,296,286,4252,363,2034,98,65,1134,2,37580,21126,27463,879
5399,54,5399,21,0,0,0,0,0,21,0,0,0,0,0,904,906,913,915,301,301,296,286,4257,363,2035,98,65,1134,2,37581,21125,27703,906
5499,55,5499,20,0,0,0,0,0,21,0,0,0,0,0,901,934,911,944,301,301,296,286,4261,363,2035,98,65,1134,2,37582,21125,27935,934
5599,56,5599,20,0,0,0,0,0,20,0,0,0,0,0,898,962,909,973,301,301,296,286,4265,363,2036,98,65,1134,2,37583,21124,28159,962
5699,57,5699,19,0,0,0,0,0,19,0,0,0,0,0,895,991,907,1003,301,301,296,286,4269,364,2037,98,65,1134,2,37583,21124,28375,991
5799,58,5799,18,0,0,0,0,0,19,0,0,0,0,0,891,1019,904,1032,301,301,296,286,4274,364,2037,98,65,1134,2,37584,21123,28584,1019
5899,59,5899,18,0,0,0,0,0,18,0,0,0,0,0,888,1048,902,1062,301,301,296,286,4278,364,2038,98,65,1134,2,37585,21123,28785,1048
5999,60,5999,17,0,0,0,0,0,17,0,0,0,0,0,885,1077,900,1092,301,301,296,286,4282,364,2038,98,65,1134,2,37586,21122,28980,1077
6099,61,6099,16,0,0,0,0,0,16,0,0,0,0,0,882,1106,888,1112,302,302,297,287,4286,365,2039,97,65,1134,2,37587,21121,29167,1106
6199,62,6199,16,0,0,0,0,0,16,0,0,0,0,0,879,1136,885,1143,302,302,297,287,4290,365,2040,97,65,1134,2,37588,21121,29348,1136
6299,63,6299,15,0,0,0,0,0,15,0,0,0,0,0,875,1165,882,1173,302,302,297,287,4294,365,2040,97,65,1134,2,37588,21120,29522,1165
6399,64,6399,15,0,0,0,0,0,15,0,0,0,0,0,872,1195,880,1204,302,302,297,287,4298,365,2041,97,65,1134,2,37589,21120,29690,1195
6499,65,6499,14,0,0,0,0,0,14,0,0,0,0,0,869,1225,878,1235,302,302,297,287,4302,365,2041,97,65,1134,2,37590,21119,29852,1225
6599,66,6599,14,0,0,0,0,0,14,0,0,0,0,0,866,1255,876,1266,302,302,297,287,4306,366,2042,97,65,1134,2,37591,21118,30008,1255
6699,67,6699,13,0,0,0,0,0,13,0,0,0,0,0,862,1285,873,1297,302,302,297,287,4310,366,2043,97,65,1134,2,37592,21118,30159,1285
6799,68,6799,13,0,0,0,0,0,13,0,0,0,0,0,859,1315,871,1328,302,302,297,287,4314,366,2043,97,65,1134,2,37592,21117,30303,1315
6899,69,6899,12,0,0,0,0,0,12,0,0,0,0,0,856,1346,869,1360,302,302,297,287,4318,366,2044,97,65,1134,2,37593,21117,30443,1346
6999,70,6999,12,0,0,0,0,0,12,0,0,0,0,0,853,1376,867,1391,302,302,297,287,4322,367,2044,97,65,1134,2,37594,21116,30577,1376
7099,71,7099,11,0,0,0,0,0,11,0,0,0,0,0,849,1407,854,1413,302,302,297,287,4325,367,2045,97,65,1134,2,37595,21115,30706,1407
7199,72,7199,11,0,0,0,0,0,11,0,0,0,0,0,846,1438,852,1445,302,302,297,287,4329,367,2046,97,65,1134,2,37595,21115,30831,1438
7299,73,7299,10,0,0,0,0,0,10,0,0,0,0,0,843,1469,850,1477,302,302,297,287,4333,367,2046,97,65,1134,2,37596,21114,30950,1469
7399,74,7399,10,0,0,0,0,0,10,0,0,0,0,0,839,1500,847,1509,302,302,297,287,4337,368,2047,97,65,1134,2,37597,21113,31065,1500
7499,75,7499,9,0,0,0,0,0,10,0,0,0,0,0,836,1531,845,1541,302,302,297,287,4340,368,2047,97,65,1134,2,37598,21113,31176,1531
7599,76,7599,9,0,0,0,0,0,9,0,0,0,0,0,833,1562,843,1573,302,302,297,287,4344,368,2048,97,65,1134,2,37598,21112,31283,1562
7699,77,7699,9,0,0,0,0,0,9,0,0,0,0,0,830,1594,841,1606,302,302,297,287,4348,368,2049,97,65,1134,2,37599,21111,31385,1594
7799,78,7799,8,0,0,0,0,0,9,0,0,0,0,0,826,1625,838,1637,302,302,297,287,4351,369,2049,97,65,1134,2,37600,21111,31484,1625
7899,79,7899,8,0,0,0,0,0,8,0,0,0,0,0,823,1657,836,1670,302,302,297,287,4355,369,2050,97,65,1134,2,37601,21110,31579,1657
7999,80,7999,8,0,0,0,0,0,8,0,0,0,0,0,820,1688,834,1702,302,302,297,287,4358,369,2050,97,65,1134,2,37601,21109,31670,1688
8099,81,8099,7,0,0,0,0,0,7,0,0,0,0,0,817,1720,822,1725,302,302,297,287,4362,369,2051,97,65,1134,2,37602,21108,31757,1720
8199,82,8199,7,0,0,0,0,0,7,0,0,0,0,0,813,1752,819,1758,302,302,297,287,4365,369,2051,97,65,1134,2,37603,21108,31841,1752
8299,83,8299,7,0,0,0,0,0,7,0,0,0,0,0,810,1784,817,1791,302,302,297,287,4368,370,2052,97,65,1134,2,37603,21107,31922,1784
8399,84,8399,6,0,0,0,0,0,7,0,0,0,0,0,807,1816,815,1824,302,302,297,287,4372,370,2053,97,65,1134,2,37604,21106,32000,1816
8499,85,8499,6,0,0,0,0,0,6,0,0,0,0,0,804,1848,813,1857,302,302,297,287,4375,370,2053,97,65,1134,2,37605,21105,32075,1848
8599,86,8599,6,0,0,0,0,0,6,0,0,0,0,0,800,1880,810,1890,302,302,297,287,4378,370,2054,97,65,1134,2,37605,21105,32146,1880
8699,87,8699,6,0,0,0,0,0,6,0,0,0,0,0,797,1912,808,1923,302,302,297,287,4382,371,2054,97,65,1134,2,37606,21104,32215,1912
8799,88,8799,6,0,0,0,0,0,6,0,0,0,0,0,794,1945,806,1957,302,302,297,287,4385,371,2055,97,65,1134,2,37607,21103,32282,1945
8899,89,8899,5,0,0,0,0,0,5,0,0,0,0,0,791,1977,804,1990,302,302,297,287,4388,371,2055,97,65,1134,2,37607,21102,32345,1977
8999,90,8999,5,0,0,0,0,0,5,0,0,0,0,0,788,2009,802,2023,302,302,297,287,4391,371,2056,97,65,1134,2,37608,21102,32406,2009
9099,91,9099,5,0,0,0,0,0,5,0,0,0,0,0,784,2042,789,2047,302,302,297,287,4394,371,2057,96,65,1134,2,37608,21101,32465,2042
9199,92,9199,5,0,0,0,0,0,5,0,0,0,0,0,781,2074,787,2081,303,303,298,288,4397,372,2057,96,65,1134,2,37609,21100,32521,2074
9299,93,9299,4,0,0,0,0,0,4,0,0,0,0,0,778,2107,785,2115,303,303,298,288,4400,372,2058,96,65,1134,2,37610,21099,32575,2107
9399,94,9399,4,0,0,0,0,0,4,0,0,0,0,0,775,2140,783,2149,303,303,298,288,4403,372,2058,96,65,1134,2,37610,21098,32627,2140
9499,95,9499,4,0,0,0,0,0,4,0,0,0,0,0,772,2172,781,2182,303,303,298,288,4406,372,2059,96,65,1134,2,37611,21098,32677,2172
9599,96,9599,4,0,0,0,0,0,4,0,0,0,0,0,769,2205,779,2216,303,303,298,288,4409,373,2059,96,65,1134,2,37611,21097,32725,2205
9699,97,9699,4,0,0,0,0,0,4,0,0,0,0,0,765,2238,776,2250,303,303,298,288,4412,373,2060,96,65,1134,2,37612,21096,32771,2238
9799,98,9799,4,0,0,0,0,0,4,0,0,0,0,0,762,2271,774,2284,303,303,298,288,4415,373,2060,96,65,1134,2,37613,21095,32815,2271
9899,99,9899,3,0,0,0,0,0,3,0,0,0,0,0,759,2303,772,2317,303,303,298,288,4418,373,2061,96,65,1134,2,37613,21094,32857,2303
9999,100,9999,3,0,0,0,0,0,3,0,0,0,0,0,756,2336,770,2351,303,303,298,288,4420,373,2061,96,65,1134,2,37614,21094,32898,2336
10099,101,10099,3,0,0,0,0,0,3,0,0,0,0,0,753,2369,758,2375,303,303,298,288,4423,374,2062,96,65,1134,2,37614,21093,32937,2369
10199,102,10199,3,0,0,0,0,0,3,0,0,0,0,0,750,2402,756,2409,303,303,298,288,4426,374,2062,96,65,1134,2,37615,21092,32974,2402
10299,103,10299,3,0,0,0,0,0,3,0,0,0,0,0,747,2435,754,2443,303,303,298,288,4428,374,2063,96,65,1134,2,37615,21091,33010,2435
10399,104,10399,3,0,0,0,0,0,3,0,0,0,0,0,744,2468,752,2477,303,303,298,288,4431,374,2063,96,65,1134,2,37616,21090,33045,2468
10499,105,10499,2,0,0,0,0,0,3,0,0,0,0,0,741,2501,750,2511,303,303,298,288,4433,375,2064,96,65,1134,2,37616,21089,33078,2501
10599,106,10599,2,0,0,0,0,0,2,0,0,0,0,0,738,2534,748,2545,303,303,298,288,4436,375,2064,96,65,1134,2,37617,21088,33109,2534
10699,107,10699,2,0,0,0,0,0,2,0,0,0,0,0,735,2568,746,2580,303,303,298,288,4438,375,2065,96,65,1134,2,37617,21088,33140,2568
10799,108,10799,2,0,0,0,0,0,2,0,0,0,0,0,731,2601,743,2614,303,303,298,288,4440,375,2065,96,65,1134,2,37618,21087,33169,2601
10899,109,10899,2,0,0,0,0,0,2,0,0,0,0,0,728,2634,741,2648,303,303,298,288,4443,375,2066,96,65,1134,2,37618,21086,33197,2634
10999,110,10999,2,0,0,0,0,0,2,0,0,0,0,0,725,2667,739,2681,303,303,298,288,4445,376,2066,96,65,1134,2,37619,21085,33224,2667
11099,111,11099,2,0,0,0,0,0,2,0,0,0,0,0,722,2700,727,2705,303,303,298,288,4447,376,2067,96,65,1134,2,37619,21084,33250,2700
11199,112,11199,2,0,0,0,0,0,2,0,0,0,0,0,719,2734,725,2740,303,303,298,288,4450,376,2067,96,65,1134,2,37620,21083,33274,2734
11299,113,11299,2,0,0,0,0,0,2,0,0,0,0,0,716,2767,723,2774,303,303,298,288,4452,376,2068,96,65,1134,2,37620,21082,33298,2767
11399,114,11399,2,0,0,0,0,0,2,0,0,0,0,0,713,2800,721,2808,303,303,298,288,4454,376,2068,96,65,1134,2,37620,21081,33321,2800
11499,115,11499,1,0,0,0,0,0,1,0,0,0,0,0,710,2834,719,2843,303,303,298,288,4456,377,2069,96,65,1134,2,37621,21080,33343,2834
11599,116,11599,1,0,0,0,0,0,1,0,0,0,0,0,708,2867,718,2877,303,303,298,288,4458,377,2069,96,65,1134,2,37621,21079,33364,2867
11699,117,11699,1,0,0,0,0,0,1,0,0,0,0,0,705,2900,716,2911,303,303,298,288,4460,377,2070,96,65,1134,2,37622,21079,33384,2900
11799,118,11799,1,0,0,0,0,0,1,0,0,0,0,0,702,2934,714,2946,303,303,298,288,4462,377,2070,96,65,1134,2,37622,21078,33403,2934
11899,119,11899,1,0,0,0,0,0,1,0,0,0,0,0,699,2967,712,2980,303,303,298,288,4464,378,2071,96,65,1134,2,37622,21077,33422,2967
11999,120,11999,1,0,0,0,0,0,1,0,0,0,0,0,696,3001,710,3015,303,303,298,288,4466,378,2071,96,65,1134,2,37623,21076,33439,3001
12099,121,12099,1,0,0,0,0,0,1,0,0,0,0,0,693,3034,698,3039,303,303,298,288,4467,378,2072,95,65,1134,2,37623,21075,33456,3034
12199,122,12199,1,0,0,0,0,0,1,0,0,0,0,0,690,3068,696,3074,303,303,298,288,4469,378,2072,95,65,1134,2,37623,21074,33473,3068
12299,123,12299,1,0,0,0,0,0,1,0,0,0,0,0,687,3101,694,3108,303,303,298,288,4471,378,2073,95,65,1134,2,37624,21073,33488,3101
12399,124,12399,1,0,0,0,0,0,1,0,0,0,0,0,684,3135,692,3143,304,304,299,289,4472,379,2073,95,65,1134,2,37624,21072,33503,3135
12499,125,12499,1,0,0,0,0,0,1,0,0,0,0,0,681,3168,690,3177,304,304,299,289,4474,379,2074,95,65,1134,2,37624,21071,33518,3168
12599,126,12599,1,0,0,0,0,0,1,0,0,0,0,0,679,3202,689,3212,304,304,299,289,4476,379,2074,95,65,1134,2,37625,21070,33531,3202
12699,127,12699,1,0,0,0,0,0,1,0,0,0,0,0,676,3235,687,3246,304,304,299,289,4477,379,2074,95,65,1134,2,37625,21069,33545,3235
12799,128,12799,1,0,0,0,0,0,1,0,0,0,0,0,673,3269,685,3281,304,304,299,289,4479,379,2075,95,65,1134,2,37625,21068,33557,3269
12899,129,12899,1,0,0,0,0,0,1,0,0,0,0,0,670,3302,683,3315,304,304,299,289,4480,380,2075,95,65,1134,2,37626,21067,33569,3302
12999,130,12999,1,0,0,0,0,0,1,0,0,0,0,0,667,3336,681,3350,304,304,299,289,4481,380,2076,95,65,1134,2,37626,21066,33581,3336
13099,131,13099,0,0,0,0,0,0,0,0,0,0,0,0,664,3370,669,3375,304,304,299,289,4483,380,2076,95,65,1134,2,37626,21065,33592,3370
13199,132,13199,0,0,0,0,0,0,0,0,0,0,0,0,662,3403,668,3409,304,304,299,289,4484,380,2077,95,65,1134,2,37626,21064,33603,3403
13299,133,13299,0,0,0,0,0,0,0,0,0,0,0,0,659,3437,666,3444,304,304,299,289,4485,380,2077,95,65,1134,2,37627,21063,33613,3437
13399,134,13399,0,0,0,0,0,0,0,0,0,0,0,0,656,3470,664,3478,304,304,299,289,4486,381,2077,95,65,1134,2,37627,21062,33623,3470
13499,135,13499,0,0,0,0,0,0,0,0,0,0,0,0,653,3504,662,3513,304,304,299,289,4487,381,2078,95,65,1134,2,37627,21061,33632,3504
13599,136,13599,0,0,0,0,0,0,0,0,0,0,0,0,651,3538,661,3548,304,304,299,289,4488,381,2078,95,65,1134,2,37627,21060,33642,3538
13699,137,13699,0,0,0,0,0,0,0,0,0,0,0,0,648,3571,659,3582,304,304,299,289,4489,381,2079,95,65,1134,2,37627,21059,33650,3571
13799,138,13799,0,0,0,0,0,0,0,0,0,0,0,0,645,3605,657,3617,304,304,299,289,4490,381,2079,95,65,1134,2,37628,21058,33659,3605
13899,139,13899,0,0,0,0,0,0,0,0,0,0,0,0,642,3639,655,3652,304,304,299,289,4491,382,2079,95,65,1134,2,37628,21057,33667,3639
13999,140,13999,0,0,0,0,0,0,0,0,0,0,0,0,640,3672,654,3686,304,304,299,289,4492,382,2080,95,65,1134,2,37628,21056,33674,3672
14099,141,14099,0,0,0,0,0,0,0,0,0,0,0,0,637,3706,642,3711,304,304,299,289,4493,382,2080,95,65,1134,2,37628,21056,33681,3706
14199,142,14199,0,0,0,0,0,0,0,0,0,0,0,0,634,3740,640,3746,304,304,299,289,4494,382,2081,95,65,1134,2,37628,21055,33689,3740
14299,143,14299,0,0,0,0,0,0,0,0,0,0,0,0,632,3773,639,3780,304,304,299,289,4495,382,2081,95,65,1134,2,37629,21054,33695,3773
14399,144,14399,0,0,0,0,0,0,0,0,0,0,0,0,629,3807,637,3815,304,304,299,289,4495,382,2081,95,65,1134,2,37629,21053,33702,3807
14499,145,14499,0,0,0,0,0,0,0,0,0,0,0,0,626,3841,635,3850,304,304,299,289,4496,383,2082,95,65,1134,2,37629,21052,33708,3841
14599,146,14599,0,0,0,0,0,0,0,0,0,0,0,0,624,3875,634,3885,304,304,299,289,4496,383,2082,95,65,1134,2,37629,21051,33714,3875
14699,147,14699,0,0,0,0,0,0,0,0,0,0,0,0,621,3908,632,3919,304,304,299,289,4497,383,2083,95,65,1134,2,37629,21050,33720,3908
14799,148,14799,0,0,0,0,0,0,0,0,0,0,0,0,619,3942,631,3954,304,304,299,289,4497,383,2083,95,65,1134,2,37629,21049,33725,3942
14899,149,14899,0,0,0,0,0,0,0,0,0,0,0,0,616,3976,629,3989,304,304,299,289,4498,383,2083,95,65,1134,2,37629,21048,33730,3976
14999,150,14999,0,0,0,0,0,0,0,0,0,0,0,0,613,4009,627,4023,304,304,299,289,4498,384,2084,95,65,1134,2,37629,21047,33735,4009
15099,151,15099,0,0,0,0,0,0,0,0,0,0,0,0,611,4043,616,4048,304,304,299,289,4499,384,2084,94,65,1134,2,37629,21046,33740,4043
15199,152,15199,0,0,0,0,0,0,0,0,0,0,0,0,608,4077,614,4083,304,304,299,289,4499,384,2084,94,65,1134,2,37629,21045,33745,4077
15299,153,15299,0,0,0,0,0,0,0,0,0,0,0,0,606,4111,613,4119,304,304,299,289,4499,384,2085,94,65,1134,2,37629,21044,33749,4111
15399,154,15399,0,0,0,0,0,0,0,0,0,0,0,0,603,4144,611,4153,304,304,299,289,4499,384,2085,94,65,1134,2,37629,21043,33753,4144
15499,155,15499,0,0,0,0,0,0,0,0,0,0,0,0,600,4178,609,4188,304,304,299,289,4499,384,2085,94,65,1134,2,37629,21042,33757,4178
15599,156,15599,0,0,0,0,0,0,0,0,0,0,0,0,598,4212,608,4223,304,304,299,289,4499,385,2086,94,65,1134,2,37629,21041,33761,4212
15699,157,15699,0,0,0,0,0,0,0,0,0,0,0,0,595,4246,606,4258,304,304,299,289,4499,385,2086,94,65,1134,2,37629,21040,33765,4246
15799,158,15799,0,0,0,0,0,0,0,0,0,0,0,0,593,4279,605,4292,305,305,300,290,4499,385,2086,94,65,1134,2,37629,21039,33769,4279
15899,159,15899,0,0,0,0,0,0,0,0,0,0,0,0,590,4313,603,4327,305,305,300,290,4499,385,2087,94,65,1134,2,37629,21038,33772,4313
15999,160,15999,0,0,0,0,0,0,0,0,0,0,0,0,588,4347,602,4362,305,305,300,290,4499,385,2087,94,65,1134,2,37629,21037,33775,4347
16099,161,16099,0,0,0,0,0,0,0,0,0,0,0,0,585,4381,590,4387,305,305,300,290,4499,386,2087,94,65,1134,2,37629,21036,33779,4381
16199,162,16199,0,0,0,0,0,0,0,0,0,0,0,0,583,4415,589,4422,305,305,300,290,4499,386,2088,94,65,1134,2,37629,21035,33782,4415
16299,163,16299,0,0,0,0,0,0,0,0,0,0,0,0,581,4448,588,4456,305,305,300,290,4499,386,2088,94,65,1134,2,37629,21034,33784,4448
16399,164,16399,0,0,0,0,0,0,0,0,0,0,0,0,578,4482,586,4491,305,305,300,290,4498,386,2088,94,65,1134,2,37629,21033,33787,4482
16499,165,16499,0,0,0,0,0,0,0,0,0,0,0,0,576,4516,585,4526,305,305,300,290,4498,386,2089,94,65,1134,2,37629,21032,33790,4516
16599,166,16599,0,0,0,0,0,0,0,0,0,0,0,0,573,4550,583,4561,305,305,300,290,4498,386,2089,94,65,1134,2,37629,21031,33792,4550
16699,167,16699,0,0,0,0,0,0,0,0,0,0,0,0,571,4584,582,4596,305,305,300,290,4497,387,2089,94,65,1134,2,37629,21030,33795,4584
16799,168,16799,0,0,0,0,0,0,0,0,0,0,0,0,568,4617,580,4630,305,305,300,290,4497,387,2090,94,65,1134,2,37629,21029,33797,4617
16899,169,16899,0,0,0,0,0,0,0,0,0,0,0,0,566,4651,579,4665,305,305,300,290,4496,387,2090,94,65,1134,2,37629,21028,33799,4651
16999,170,16999,0,0,0,0,0,0,0,0,0,0,0,0,564,4685,578,4700,305,305,300,290,4495,387,2090,94,65,1134,2,37629,21027,33802,4685
17099,171,17099,0,0,0,0,0,0,0,0,0,0,0,0,561,4719,566,4725,305,305,300,290,4495,387,2090,94,65,1134,2,37629,21026,33804,4719
